Standard,Subject,Grade,Strand,Standard Number,Description,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.4.1,When writing:,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.4.1,When writing:,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.4.1.a,use parallel structure;,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.4.1.a,use parallel structure;,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.4.1.a,use parallel structure;,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.4.1.a,use parallel structure;,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.4.1.b,"identify and use gerunds, infinitives, and participles;",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.4.1.b,"identify and use gerunds, infinitives, and participles;",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.4.1.b,"identify and use gerunds, infinitives, and participles;",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.4.1.b,"identify and use gerunds, infinitives, and participles;",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.4.1.c,identify and use active and passive verbs;,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.4.1.c,identify and use active and passive verbs;,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.4.1.c,identify and use active and passive verbs;,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.4.1.c,identify and use active and passive verbs;,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.4.1.d,"explain and use indicative, imperative, subjunctive, conditional verb moods to communicate different messages; and",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.4.1.d,"explain and use indicative, imperative, subjunctive, conditional verb moods to communicate different messages; and",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.4.1.d,"explain and use indicative, imperative, subjunctive, conditional verb moods to communicate different messages; and",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.4.1.d,"explain and use indicative, imperative, subjunctive, conditional verb moods to communicate different messages; and",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.4.1.e,"use noun, verb, adjectival, adverbial, participial, prepositional, and absolute phrases and independent, dependent, noun relative, and adverbial clauses to convey specific meanings and add variety and interest to writing.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.4.1.e,"use noun, verb, adjectival, adverbial, participial, prepositional, and absolute phrases and independent, dependent, noun relative, and adverbial clauses to convey specific meanings and add variety and interest to writing.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.4.1.e,"use noun, verb, adjectival, adverbial, participial, prepositional, and absolute phrases and independent, dependent, noun relative, and adverbial clauses to convey specific meanings and add variety and interest to writing.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.4.1.e,"use noun, verb, adjectival, adverbial, participial, prepositional, and absolute phrases and independent, dependent, noun relative, and adverbial clauses to convey specific meanings and add variety and interest to writing.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.5.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.5.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.5.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.5.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.5.2,Use:,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.5.2,Use:,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.5.2,Use:,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.5.2,Use:,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.5.2.a,a semicolon or a conjunctive adverb to link two or more closely related independent clauses;,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.5.2.a,a semicolon or a conjunctive adverb to link two or more closely related independent clauses;,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.5.2.a,a semicolon or a conjunctive adverb to link two or more closely related independent clauses;,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.5.2.a,a semicolon or a conjunctive adverb to link two or more closely related independent clauses;,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.5.2.b,a colon to introduce a list or quotation; and,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.5.2.b,a colon to introduce a list or quotation; and,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.5.2.b,a colon to introduce a list or quotation; and,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.5.2.b,a colon to introduce a list or quotation; and,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.5.2.c,"commas to separate adjacent, parallel structures.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.5.2.c,"commas to separate adjacent, parallel structures.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.5.2.c,"commas to separate adjacent, parallel structures.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.5.2.c,"commas to separate adjacent, parallel structures.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.5.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.5.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.5.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.5.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.5.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.5.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.5.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.5.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.5.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.5.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.5.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.5.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.6.1,"Write routinely and persevere in writing tasks over short and extended time frames, for a range of domain-specific tasks, and for a variety of purposes and audiences.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.6.1,"Write routinely and persevere in writing tasks over short and extended time frames, for a range of domain-specific tasks, and for a variety of purposes and audiences.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.6.1,"Write routinely and persevere in writing tasks over short and extended time frames, for a range of domain-specific tasks, and for a variety of purposes and audiences.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.6.1,"Write routinely and persevere in writing tasks over short and extended time frames, for a range of domain-specific tasks, and for a variety of purposes and audiences.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.6.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.6.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.6.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.6.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.6.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.6.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.6.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.6.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.6.4,Demonstrate effective keyboarding skills.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.6.4,Demonstrate effective keyboarding skills.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.6.4,Demonstrate effective keyboarding skills.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.6.4,Demonstrate effective keyboarding skills.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Writing,E1.W.9-12.6.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Writing,E1.W.9-12.6.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Writing,E1.W.9-12.6.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Writing,E1.W.9-12.6.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.1.1,"Gather information from print and multimedia sources to prepare for discussions; draw on evidence that supports the topic, text, or issue being discussed; and develop logical interpretations of new findings.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.1.1,"Gather information from print and multimedia sources to prepare for discussions; draw on evidence that supports the topic, text, or issue being discussed; and develop logical interpretations of new findings.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.1.1,"Gather information from print and multimedia sources to prepare for discussions; draw on evidence that supports the topic, text, or issue being discussed; and develop logical interpretations of new findings.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.1.1,"Gather information from print and multimedia sources to prepare for discussions; draw on evidence that supports the topic, text, or issue being discussed; and develop logical interpretations of new findings.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.1.2,Initiate and participate effectively in a range of collaborative discussions with diverse partners; build on the ideas of others and express own ideas clearly and persuasively.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.1.2,Initiate and participate effectively in a range of collaborative discussions with diverse partners; build on the ideas of others and express own ideas clearly and persuasively.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.1.2,Initiate and participate effectively in a range of collaborative discussions with diverse partners; build on the ideas of others and express own ideas clearly and persuasively.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.1.2,Initiate and participate effectively in a range of collaborative discussions with diverse partners; build on the ideas of others and express own ideas clearly and persuasively.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.1.3,"Develop, apply, and adjust reciprocal communication skills and techniques with other students and adults.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.1.3,"Develop, apply, and adjust reciprocal communication skills and techniques with other students and adults.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.1.3,"Develop, apply, and adjust reciprocal communication skills and techniques with other students and adults.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.1.3,"Develop, apply, and adjust reciprocal communication skills and techniques with other students and adults.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.1.4,"Engage in dialogue with peers and adults to explore meaning and interaction of ideas, concepts, and elements of text, reflecting, constructing, and articulating new understandings.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.1.4,"Engage in dialogue with peers and adults to explore meaning and interaction of ideas, concepts, and elements of text, reflecting, constructing, and articulating new understandings.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.1.4,"Engage in dialogue with peers and adults to explore meaning and interaction of ideas, concepts, and elements of text, reflecting, constructing, and articulating new understandings.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.1.4,"Engage in dialogue with peers and adults to explore meaning and interaction of ideas, concepts, and elements of text, reflecting, constructing, and articulating new understandings.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.1.5,Synthesize areas of agreement and disagreement including justification for personal perspective; revise conclusions based on new evidence.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.1.5,Synthesize areas of agreement and disagreement including justification for personal perspective; revise conclusions based on new evidence.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.1.5,Synthesize areas of agreement and disagreement including justification for personal perspective; revise conclusions based on new evidence.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.1.5,Synthesize areas of agreement and disagreement including justification for personal perspective; revise conclusions based on new evidence.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.1.6,"Utilize various modes of communication to present a clear, unique interpretation of diverse perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.1.6,"Utilize various modes of communication to present a clear, unique interpretation of diverse perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.1.6,"Utilize various modes of communication to present a clear, unique interpretation of diverse perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.1.6,"Utilize various modes of communication to present a clear, unique interpretation of diverse perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.2.1,"Present information and findings from multiple authoritative sources; assess the usefulness of each source in answering the research question, citing supporting evidence clearly, concisely, and logically such that listeners can follow the line of reasoning, and the organization, development, substance, and style are appropriate to purpose, audience, and task.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.2.1,"Present information and findings from multiple authoritative sources; assess the usefulness of each source in answering the research question, citing supporting evidence clearly, concisely, and logically such that listeners can follow the line of reasoning, and the organization, development, substance, and style are appropriate to purpose, audience, and task.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.2.1,"Present information and findings from multiple authoritative sources; assess the usefulness of each source in answering the research question, citing supporting evidence clearly, concisely, and logically such that listeners can follow the line of reasoning, and the organization, development, substance, and style are appropriate to purpose, audience, and task.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.2.1,"Present information and findings from multiple authoritative sources; assess the usefulness of each source in answering the research question, citing supporting evidence clearly, concisely, and logically such that listeners can follow the line of reasoning, and the organization, development, substance, and style are appropriate to purpose, audience, and task.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.2.2,Distinguish between credible and non-credible sources of information.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.2.2,Distinguish between credible and non-credible sources of information.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.2.2,Distinguish between credible and non-credible sources of information.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.2.2,Distinguish between credible and non-credible sources of information.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.2.3,Quote or paraphrase the data and conclusions of others while avoiding plagiarism and following a standard format for citation.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.2.3,Quote or paraphrase the data and conclusions of others while avoiding plagiarism and following a standard format for citation.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.2.3,Quote or paraphrase the data and conclusions of others while avoiding plagiarism and following a standard format for citation.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.2.3,Quote or paraphrase the data and conclusions of others while avoiding plagiarism and following a standard format for citation.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.2.4,"Adapt speech to a variety of contexts and tasks, using standard English when indicated or appropriate.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.2.4,"Adapt speech to a variety of contexts and tasks, using standard English when indicated or appropriate.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.2.4,"Adapt speech to a variety of contexts and tasks, using standard English when indicated or appropriate.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.2.4,"Adapt speech to a variety of contexts and tasks, using standard English when indicated or appropriate.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.3.1,Determine how context influences the mode of communication used by the presenter in a given situation.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.3.1,Determine how context influences the mode of communication used by the presenter in a given situation.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.3.1,Determine how context influences the mode of communication used by the presenter in a given situation.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.3.1,Determine how context influences the mode of communication used by the presenter in a given situation.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.3.2,"Create engaging visual and/or multimedia presentations, using a variety of media forms to enhance understanding of findings, reasoning, and evidence for diverse audiences.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.3.2,"Create engaging visual and/or multimedia presentations, using a variety of media forms to enhance understanding of findings, reasoning, and evidence for diverse audiences.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.3.2,"Create engaging visual and/or multimedia presentations, using a variety of media forms to enhance understanding of findings, reasoning, and evidence for diverse audiences.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.3.2,"Create engaging visual and/or multimedia presentations, using a variety of media forms to enhance understanding of findings, reasoning, and evidence for diverse audiences.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.4.1,"Evaluate a speaker's point of view, reasoning, and use of evidence and rhetoric, identifying any fallacies in reasoning or exaggerated or distorted evidence.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.4.1,"Evaluate a speaker's point of view, reasoning, and use of evidence and rhetoric, identifying any fallacies in reasoning or exaggerated or distorted evidence.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.4.1,"Evaluate a speaker's point of view, reasoning, and use of evidence and rhetoric, identifying any fallacies in reasoning or exaggerated or distorted evidence.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.4.1,"Evaluate a speaker's point of view, reasoning, and use of evidence and rhetoric, identifying any fallacies in reasoning or exaggerated or distorted evidence.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.4.2,"Determine if the speaker develops well-organized messages that use logical, emotional, and ethical appeals.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.4.2,"Determine if the speaker develops well-organized messages that use logical, emotional, and ethical appeals.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.4.2,"Determine if the speaker develops well-organized messages that use logical, emotional, and ethical appeals.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.4.2,"Determine if the speaker develops well-organized messages that use logical, emotional, and ethical appeals.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.4.3,"Analyze the speaker's use of repetition, rhetorical questions, and delivery style to convey the message and impact the audience.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.4.3,"Analyze the speaker's use of repetition, rhetorical questions, and delivery style to convey the message and impact the audience.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.4.3,"Analyze the speaker's use of repetition, rhetorical questions, and delivery style to convey the message and impact the audience.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.4.3,"Analyze the speaker's use of repetition, rhetorical questions, and delivery style to convey the message and impact the audience.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.5.1,Remain conscious of the audience and anticipate possible misconceptions or objections.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.5.1,Remain conscious of the audience and anticipate possible misconceptions or objections.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.5.1,Remain conscious of the audience and anticipate possible misconceptions or objections.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.5.1,Remain conscious of the audience and anticipate possible misconceptions or objections.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.5.2,"Employ effective repetition, rhetorical questions, and delivery style to convey message to impact the audience.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.5.2,"Employ effective repetition, rhetorical questions, and delivery style to convey message to impact the audience.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.5.2,"Employ effective repetition, rhetorical questions, and delivery style to convey message to impact the audience.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.5.2,"Employ effective repetition, rhetorical questions, and delivery style to convey message to impact the audience.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-1:Communication,E1.C.9-12.5.3,"Develop messages that use logical, emotional, and ethical appeals.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-1:Communication,E1.C.9-12.5.3,"Develop messages that use logical, emotional, and ethical appeals.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-1:Communication,E1.C.9-12.5.3,"Develop messages that use logical, emotional, and ethical appeals.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-1:Communication,E1.C.9-12.5.3,"Develop messages that use logical, emotional, and ethical appeals.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-2:Inquiry Based Literacy,E2.I.9-12.1.1,"Use a recursive process to develop, refine, and evaluate questions to broaden thinking on a specific idea that directs inquiry for new learning and deeper understanding.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-2:Inquiry Based Literacy,E2.I.9-12.1.1,"Use a recursive process to develop, refine, and evaluate questions to broaden thinking on a specific idea that directs inquiry for new learning and deeper understanding.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-2:Inquiry Based Literacy,E2.I.9-12.1.1,"Use a recursive process to develop, refine, and evaluate questions to broaden thinking on a specific idea that directs inquiry for new learning and deeper understanding.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-2:Inquiry Based Literacy,E2.I.9-12.1.1,"Use a recursive process to develop, refine, and evaluate questions to broaden thinking on a specific idea that directs inquiry for new learning and deeper understanding.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-2:Inquiry Based Literacy,E2.I.9-12.2.1,"Analyze ideas and information from text and multimedia by formulating questions, proposing interpretations and explanations, and considering alternative views and multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-2:Inquiry Based Literacy,E2.I.9-12.2.1,"Analyze ideas and information from text and multimedia by formulating questions, proposing interpretations and explanations, and considering alternative views and multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-2:Inquiry Based Literacy,E2.I.9-12.2.1,"Analyze ideas and information from text and multimedia by formulating questions, proposing interpretations and explanations, and considering alternative views and multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-2:Inquiry Based Literacy,E2.I.9-12.2.1,"Analyze ideas and information from text and multimedia by formulating questions, proposing interpretations and explanations, and considering alternative views and multiple perspectives.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-2:Inquiry Based Literacy,E2.I.9-12.3.1,Develop a plan of action by using appropriate discipline-specific strategies.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-2:Inquiry Based Literacy,E2.I.9-12.3.1,Develop a plan of action by using appropriate discipline-specific strategies.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-2:Inquiry Based Literacy,E2.I.9-12.3.1,Develop a plan of action by using appropriate discipline-specific strategies.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-2:Inquiry Based Literacy,E2.I.9-12.3.1,Develop a plan of action by using appropriate discipline-specific strategies.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-2:Inquiry Based Literacy,E2.I.9-12.3.2,"Examine historical, social, cultural, or political context to broaden inquiry and create questions.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-2:Inquiry Based Literacy,E2.I.9-12.3.2,"Examine historical, social, cultural, or political context to broaden inquiry and create questions.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-2:Inquiry Based Literacy,E2.I.9-12.3.2,"Examine historical, social, cultural, or political context to broaden inquiry and create questions.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-2:Inquiry Based Literacy,E2.I.9-12.3.2,"Examine historical, social, cultural, or political context to broaden inquiry and create questions.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-2:Inquiry Based Literacy,E2.I.9-12.3.3,"Gather information from a variety of primary and secondary sources and evaluate for perspective, validity, and bias.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-2:Inquiry Based Literacy,E2.I.9-12.3.3,"Gather information from a variety of primary and secondary sources and evaluate for perspective, validity, and bias.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-2:Inquiry Based Literacy,E2.I.9-12.3.3,"Gather information from a variety of primary and secondary sources and evaluate for perspective, validity, and bias.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-2:Inquiry Based Literacy,E2.I.9-12.3.3,"Gather information from a variety of primary and secondary sources and evaluate for perspective, validity, and bias.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-2:Inquiry Based Literacy,E2.I.9-12.3.4,Organize and categorize important information; synthesize relevant ideas to build a deeper understanding; communicate new learning; and identify implications for future inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-2:Inquiry Based Literacy,E2.I.9-12.3.4,Organize and categorize important information; synthesize relevant ideas to build a deeper understanding; communicate new learning; and identify implications for future inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-2:Inquiry Based Literacy,E2.I.9-12.3.4,Organize and categorize important information; synthesize relevant ideas to build a deeper understanding; communicate new learning; and identify implications for future inquiry.,,
