Standard,Subject,Grade,Strand,Standard Number,Description,
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.2 and 5.2 merge),"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.2 and 5.2 merge) a.,Use correct capitalization,
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.2 and 5.2 merge) b.,Use commas and quotation marks to mark direct speech and quotations from a text,
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.2 and 5.2 merge) c.,Use punctuation to separate items in a series,
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.2 and 5.2 merge) d.,Use a comma to separate an introductory element from the rest of the sentence,
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.2 and 5.2 merge) e.,"words yes and no (e.g., Yes, thank you), to set off a tag question from the rest of the sentence (e.g., It’s true, isn’t it?), and to indicate direct address (e.g., Is that you, Steve?",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.2 and 5.2 merge) f.,"Use underlining, quotation marks, or italics to indicate titles of works",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.2 and 5.2 merge) g.,Use a comma before a coordinating conjunction in a compound sentence,
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.2 and 5.2 merge) h.,"Spell grade-appropriate words correctly, consulting references as needed",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.6.2 and 8.2 merge),"Demonstrate command of conventions of standard English capitalization, punctuation, and spelling when writing.",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.2 and 8.2 merge) a.,"Use punctuation (commas, parentheses, ellipsis, dashes) to set off nonrestrictive/parenthetical elements.",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,(L.6.2 and 8.2 merge) b.,"Use a comma to separate coordinate adjectives (e.g., It was a fascinating, enjoyable movie but not He wore an old[,] green shirt).",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.2 and 8.2 merge) c.,Use an ellipsis to indicate an omission.,
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.2 and 8.2 merge) d.,Spell correctly,
College and Career Readiness Standards for ELA and Literacy,English,E,Language,CCR  (L.9-10.2),"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",
College and Career Readiness Standards for ELA and Literacy,English,E,Language,CCR  (L.9-10.2) a.,Use a semicolon (and perhaps a conjunctive adverb) to link two or more closely related independent clauses.,
College and Career Readiness Standards for ELA and Literacy,English,E,Language,CCR  (L.9-10.2) b.,Use a colon to introduce a list or quotation.,
College and Career Readiness Standards for ELA and Literacy,English,E,Language,CCR  (L.9-10.2) c.,Spell correctly.,
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Language,CCR Anchor 3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.3.3),"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.3.3) a.,Choose words and phrases for effect.,
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.3.3) b.,Recognize and observe differences between the conventions of spoken and written standard English,
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.3 and 5.3 merge),"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.3 and 5.3 merge) a.,Choose words and phrases to convey ideas precisely,
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.3 and 5.3 merge) b.,Choose punctuation for effect.,
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.3 and 5.3 merge) c.,"Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., smallgroup discussion)",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.3 and 5.3 merge) d.,"Expand, combine, and reduce sentences for meaning, reader/listener interest, and style.",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.3 and 5.3 merge) e.,"Compare and contrast the varieties of English (e.g., dialects, registers) used in stories, dramas, or poems",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.3 and 7.3 merge),"Use knowledge of language and its conventions when writing, speaking, reading, or listening",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.3 and 7.3 merge) a.,"Vary sentence patterns for meaning, reader/listener interest, and style.",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.3 and 7.3 merge) b.,Maintain consistency in style and tone,
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.3 and 7.3 merge) c.,"Choose language that expresses ideas precisely and concisely, recognizing and eliminating wordiness and redundancy.",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Language,CCR Anchor 4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases by using context clues, analyzing meaningful word parts, and consulting general and specialized reference materials, as appropriate.",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.1.4),"Determine or clarify the meaning of unknown and multiple-meaning words and phrases, choosing flexibly from an array of strategies.",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.1.4) a.,Use sentence-level context as a clue to the meaning of a word or phrase.,Use sentence-level context as a clue to the meaning of a word or phrase.
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.1.4) b.,Use frequently occurring affixes as a clue to the meaning of a word,Use frequently occurring affixes as a clue to the meaning of a word
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.1.4) c.,"Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking)","Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking)"
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.4),"Determine or clarify the meaning of unknown and multiple-meaning words and phrases, choosing flexibly from an array of strategies",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.4) a.,Use sentence-level context as a clue to the meaning of a word or phrase.,
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.4) b.,"Determine the meaning of the new word formed when a known prefix is added to a known word (e.g., happy/unhappy, tell/retell)",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.4) c.,"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., addition, additional).",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.4) d.,"Use knowledge of the meaning of individual words to predict the meaning of compound words (e.g., birdhouse, lighthouse, housefly; bookshelf, notebook, bookmark).",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.4) e.,"Use glossaries and beginning dictionaries, both print and digital, to determine or clarify the meaning of words and phrases",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.4 and 5.4 merge),"Determine or clarify the meaning of unknown and multiple-meaning words and phrases, choosing flexibly from a range of strategies.",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.4 and 5.4 merge) a.,"Use context (e.g., definitions, examples, restatements, cause/effect relationships and comparisons in text) as a clue to the meaning of a word or phrase",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.4 and 5.4 merge) b.,"Use common, gradeappropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., telegraph, autograph, photograph, photosynthesis)",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.4.4 and 5.4 merge) c.,"Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases.",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.4),"Determine or clarify the meaning of unknown and multiple-meaning words and phrases, choosing flexibly from a range of strategies.",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.4) a.,"Use context (e.g., the overall meaning of a sentence or paragraph; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase.",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.4) b.,"Use common, gradeappropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., audience, auditory, audible",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.4) c.,"Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning or its part of speech",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR  (L.6.4) d.,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)",
College and Career Readiness Standards for ELA and Literacy,English,E,Language,CCR  (L.11-12.4),"Determine or clarify the meaning of unknown and multiple-meaning words and phrases, choosing flexibly from a range of strategies.",
College and Career Readiness Standards for ELA and Literacy,English,E,Language,CCR  (L.11-12.4) a.,"Use context (e.g., the overall meaning of a sentence, paragraph, or text; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase",
College and Career Readiness Standards for ELA and Literacy,English,E,Language,CCR  (L.11-12.4) b.,"Identify and correctly use patterns of word changes that indicate different meanings or parts of speech (e.g., conceive, conception, conceivable).",
College and Career Readiness Standards for ELA and Literacy,English,E,Language,CCR  (L.11-12.4) c.,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, or its etymology or its standard usage.",
College and Career Readiness Standards for ELA and Literacy,English,E,Language,CCR  (L.11-12.4) d.,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Language,CCR Anchor 5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.1.5),"With guidance and support, demonstrate understanding of word relationships and nuances in word meanings.",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.1.5) a.,"Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent.",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.1.5) b.,"Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.1.5) c.,"Identify real-life connections between words and their use (e.g., note places at home that are cozy).",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.1.5) d.,"Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.3.5),Demonstrate understanding of word relationships and nuances in word meanings.,
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.3.5) a.,"Distinguish the literal and non-literal meanings of words and phrases in context (e.g., take steps)",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.3.5) b.,"Identify real-life connections between words and their use (e.g., describe people who are friendly or helpful)",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.3.5) c.,"Distinguish shades of meaning among related words that describe states of mind or degrees of certainty (e.g., knew, believed, suspected, heard, wondered)",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.5.5),"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.5.5) a.,"Interpret figurative language, including similes and metaphors, in context.",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.5.5) b.,"Recognize and explain the meaning of common idioms, adages, and proverbs.",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR  (L.5.5) c.,"Use the relationship between particular words (e.g., synonyms, antonyms, homographs) to better understand each of the words.",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Language,CCR Anchor 6,"Acquire and use accurately a range of general academic and domain-specific words and phrases sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when encountering a word or phrase important to comprehension or expression",
College and Career Readiness Standards for ELA and Literacy,English,A,Language,CCR  (L.1.6),"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.2.6),"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using adjectives and adverbs to describe (e.g., When other people are happy that makes me happy).",
College and Career Readiness Standards for ELA and Literacy,English,B,Language,CCR  (L.3.6),"Acquire and use accurately level-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships (e.g., After dinner that night we went looking for them)",
College and Career Readiness Standards for ELA and Literacy,English,C,Language,CCR (L.4.6 and 5.6 merge),"Acquire and use accurately level-appropriate general academic and domain-specific words and phrases, including those that: • signal precise actions, emotions, or states of being (e.g., quizzed, whined, stammered).  • are basic to a particular topic (e.g., wildlife, conservation, and endangered when discussing animal preservation). • signal contrast, addition, and other logical relationships (e.g., however, although, nevertheless, similarly, moreover, in addition).",
College and Career Readiness Standards for ELA and Literacy,English,D,Language,CCR (L.8.6),Acquire and use accurately level-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression,
College and Career Readiness Standards for ELA and Literacy,English,E,Language,L.11-12.6,"Acquire and use accurately general academic and domainspecific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression.",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Reading: Foundational Skills: K-5,RF.2.,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes). (Phonological Awareness)",
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.2. (RF.K.2 and 1.2 merge),"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).",
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.2. (RF.K.2 and 1.2 merge) a.,Recognize and produce rhyming words.,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.2. (RF.K.2 and 1.2 merge) b.,Distinguish long from short vowel sounds in spoken single-syllable words.,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.2. (RF.K.2 and 1.2 merge) c.,"Count, pronounce, blend, and segment syllables in spoken words.",
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.2. (RF.K.2 and 1.2 merge) d.,Blend and segment onsets and rimes of singlesyllable spoken words,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.2. (RF.K.2 and 1.2 merge) e.,"Orally produce single-syllable words by blending sounds (phonemes), including consonant blends",
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.2. (RF.K.2 and 1.2 merge) f.,Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes).,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.2. (RF.K.2 and 1.2 merge) g.,"Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words.",
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.2. (RF.K.2 and 1.2 merge) h.,"Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words.",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Reading: Foundational Skills: K-5,RF.3.,Know and apply grade-level phonics and word analysis skills in decoding words. (Phonics and Word Recognition),
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.3. (RF.K.3 and 1.3 merge),Know and apply grade-level phonics and word analysis skills in decoding words.,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.3. (RF.K.3 and 1.3 merge) a.,Demonstrate basic knowledge of one-to-one lettersound correspondences by producing the primary sound or many of the most frequent sounds for each consonant.,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.3. (RF.K.3 and 1.3 merge) b.,Associate the long and short sounds with common spellings (graphemes) for the five major vowels.,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.3. (RF.K.3 and 1.3 merge) c.,Know the spelling-sound correspondences for common consonant digraphs.,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.3. (RF.K.3 and 1.3 merge) d.,Decode regularly spelled one-syllable words,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.3. (RF.K.3 and 1.3 merge) e.,Distinguish between similarly spelled words by identifying the sounds of the letters that differ.,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.3. (RF.K.3 and 1.3 merge) f.,Know final -e and common vowel team conventions for representing long vowel sounds.,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.3. (RF.K.3 and 1.3 merge) g.,Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word.,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.3. (RF.K.3 and 1.3 merge) h.,Decode two-syllable words following basic patterns by breaking the words into syllables.,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.3. (RF.K.3 and 1.3 merge) i.,Read words with inflectional endings,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.3. (RF.K.3 and 1.3 merge) j.,"Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, does).",
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.3. (RF.K.3 and 1.3 merge) k.,Recognize and read grade-appropriate irregularly spelled words.,
College and Career Readiness Standards for ELA and Literacy,English,B,Reading: Foundational Skills: K-5,RF.3. (RF.2.3 and 3.3 merge),know and apply grade-level phonics and word analysis skills in decoding words.,
College and Career Readiness Standards for ELA and Literacy,English,B,Reading: Foundational Skills: K-5,RF.3. (RF.2.3 and 3.3 merge) a.,Distinguish long and short vowels when reading regularly spelled one-syllable words.,
College and Career Readiness Standards for ELA and Literacy,English,B,Reading: Foundational Skills: K-5,RF.3. (RF.2.3 and 3.3 merge) b.,Know spelling-sound correspondences for additional common vowel teams.,
College and Career Readiness Standards for ELA and Literacy,English,B,Reading: Foundational Skills: K-5,RF.3. (RF.2.3 and 3.3 merge) c.,Identify and know the meaning of the most common prefixes and derivational suffixes.,
College and Career Readiness Standards for ELA and Literacy,English,B,Reading: Foundational Skills: K-5,RF.3. (RF.2.3 and 3.3 merge) d.,Identify words with inconsistent but common spelling-sound correspondences.,
College and Career Readiness Standards for ELA and Literacy,English,B,Reading: Foundational Skills: K-5,RF.3. (RF.2.3 and 3.3 merge) e.,Identify words with inconsistent but common spelling-sound correspondences.,
College and Career Readiness Standards for ELA and Literacy,English,B,Reading: Foundational Skills: K-5,RF.3. (RF.2.3 and 3.3 merge) f.,Decode words with common Latin suffixes.,
College and Career Readiness Standards for ELA and Literacy,English,B,Reading: Foundational Skills: K-5,RF.3. (RF.2.3 and 3.3 merge) g.,Decode multisyllable words.,
College and Career Readiness Standards for ELA and Literacy,English,B,Reading: Foundational Skills: K-5,RF.3. (RF.2.3 and 3.3 merge) h.,Recognize and read grade-appropriate irregularly spelled words.,
College and Career Readiness Standards for ELA and Literacy,English,C,Reading: Foundational Skills: K-5,RF.3. (RF.4.3 and 5.3 merge),know and apply grade-level phonics and word analysis skills in decoding words.,
College and Career Readiness Standards for ELA and Literacy,English,C,Reading: Foundational Skills: K-5,RF.3. (RF.4.3 and 5.3 merge) a.,"Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context.",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Reading: Foundational Skills: K-5,RF.4.,Read with sufficient accuracy and fluency to support comprehension. (Fluency),
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.4 (RF.K.4 and 1.4 merge),Read with sufficient accuracy and fluency to support comprehension.,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.4 (RF.K.4 and 1.4 merge) a.,Read grade-level text with purpose and understanding,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.4 (RF.K.4 and 1.4 merge) b.,"Read grade-level text orally with accuracy, appropriate rate, and expression on successive readings.",
College and Career Readiness Standards for ELA and Literacy,English,A,Reading: Foundational Skills: K-5,RF.4 (RF.K.4 and 1.4 merge) c.,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary",
College and Career Readiness Standards for ELA and Literacy,English,B,Reading: Foundational Skills: K-5,RF.4 (RF.2.4 and 3.4 merge),Read with sufficient accuracy and fluency to support comprehension,
College and Career Readiness Standards for ELA and Literacy,English,B,Reading: Foundational Skills: K-5,RF.4 (RF.2.4 and 3.4 merge) a.,Read grade-level text with purpose and understanding.,
College and Career Readiness Standards for ELA and Literacy,English,B,Reading: Foundational Skills: K-5,RF.4 (RF.2.4 and 3.4 merge) b.,"Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings.",
College and Career Readiness Standards for ELA and Literacy,English,B,Reading: Foundational Skills: K-5,RF.4 (RF.2.4 and 3.4 merge) c.,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",
College and Career Readiness Standards for ELA and Literacy,English,C,Reading: Foundational Skills: K-5,RF.4 (RF.4.4 and 5.4 merge),Read with sufficient accuracy and fluency to support comprehension.,
College and Career Readiness Standards for ELA and Literacy,English,C,Reading: Foundational Skills: K-5,RF.4 (RF.4.4 and 5.4 merge) a.,Read grade-level text with purpose and understanding.,
College and Career Readiness Standards for ELA and Literacy,English,C,Reading: Foundational Skills: K-5,RF.4 (RF.4.4 and 5.4 merge) b.,"Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings",
College and Career Readiness Standards for ELA and Literacy,English,C,Reading: Foundational Skills: K-5,RF.4 (RF.4.4 and 5.4 merge) c.,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary",
