Standard,Subject,Grade,Strand,Standard Number,Description,,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.A.1,"Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output of f corresponding to the input x. The graph of f is the graph of the equation y = f(x).",,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.A.1,"Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output of f corresponding to the input x. The graph of f is the graph of the equation y = f(x).",,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.A.2,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context.",,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.A.2,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context.",,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.A.2,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context.",,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.A.2,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context.",,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.A.3,"Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers.",,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.A.3,"Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers.",,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.A.3,"Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers.",,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.A.3,"Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers.",,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.B,Interpret functions that arise in applications in terms of the context,,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.B,Interpret functions that arise in applications in terms of the context,,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.B,Interpret functions that arise in applications in terms of the context,,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.B,Interpret functions that arise in applications in terms of the context,,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.B.4,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship.",,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.B.4,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship.",,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.B.4,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship.",,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.B.4,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship.",,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.B.5,"Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes.",,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.B.5,"Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes.",,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.B.5,"Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes.",,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.B.5,"Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes.",,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.B.6,Calculate and interpret the average rate of change of a function (presented symbolically or as a table) over a specified interval. Estimate the rate of change from a graph.,,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.B.6,Calculate and interpret the average rate of change of a function (presented symbolically or as a table) over a specified interval. Estimate the rate of change from a graph.,,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.B.6,Calculate and interpret the average rate of change of a function (presented symbolically or as a table) over a specified interval. Estimate the rate of change from a graph.,,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.B.6,Calculate and interpret the average rate of change of a function (presented symbolically or as a table) over a specified interval. Estimate the rate of change from a graph.,,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.C,Analyze functions using different representations,,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.C,Analyze functions using different representations,,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.C,Analyze functions using different representations,,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.C,Analyze functions using different representations,,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.C.7,"Graph functions expressed symbolically and show key features of the graph, by hand in simple cases and using technology for more complicated cases.",,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.C.7,"Graph functions expressed symbolically and show key features of the graph, by hand in simple cases and using technology for more complicated cases.",,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.C.7,"Graph functions expressed symbolically and show key features of the graph, by hand in simple cases and using technology for more complicated cases.",,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.C.7,"Graph functions expressed symbolically and show key features of the graph, by hand in simple cases and using technology for more complicated cases.",,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.C.7a,"Graph linear and quadratic functions and show intercepts, maxima, and minima.",,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.C.7a,"Graph linear and quadratic functions and show intercepts, maxima, and minima.",,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.C.7a,"Graph linear and quadratic functions and show intercepts, maxima, and minima.",,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.C.7a,"Graph linear and quadratic functions and show intercepts, maxima, and minima.",,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.C.7b,"Graph square root, cube root, and piecewise-defined functions, including step functions and absolute value functions.",,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.C.7b,"Graph square root, cube root, and piecewise-defined functions, including step functions and absolute value functions.",,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.C.7b,"Graph square root, cube root, and piecewise-defined functions, including step functions and absolute value functions.",,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.C.7b,"Graph square root, cube root, and piecewise-defined functions, including step functions and absolute value functions.",,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.C.7c,"Graph polynomial functions, identifying zeros when suitable factorizations are available, and showing end behavior.",,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.C.7c,"Graph polynomial functions, identifying zeros when suitable factorizations are available, and showing end behavior.",,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.C.7c,"Graph polynomial functions, identifying zeros when suitable factorizations are available, and showing end behavior.",,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.C.7c,"Graph polynomial functions, identifying zeros when suitable factorizations are available, and showing end behavior.",,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.C.7d,"(+) Graph rational functions, identifying zeros and asymptotes when suitable factorizations are available, and showing end behavior.",,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.C.7d,"(+) Graph rational functions, identifying zeros and asymptotes when suitable factorizations are available, and showing end behavior.",,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.C.7d,"(+) Graph rational functions, identifying zeros and asymptotes when suitable factorizations are available, and showing end behavior.",,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.C.7d,"(+) Graph rational functions, identifying zeros and asymptotes when suitable factorizations are available, and showing end behavior.",,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.C.7e,"Graph exponential and logarithmic functions, showing intercepts and end behavior, and trigonometric functions, showing period, midline, and amplitude.",,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.C.7e,"Graph exponential and logarithmic functions, showing intercepts and end behavior, and trigonometric functions, showing period, midline, and amplitude.",,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.C.7e,"Graph exponential and logarithmic functions, showing intercepts and end behavior, and trigonometric functions, showing period, midline, and amplitude.",,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.C.7e,"Graph exponential and logarithmic functions, showing intercepts and end behavior, and trigonometric functions, showing period, midline, and amplitude.",,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.C.8,Write a function defined by an expression in different but equivalent forms to reveal and explain different properties of the function.,,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.C.8,Write a function defined by an expression in different but equivalent forms to reveal and explain different properties of the function.,,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.C.8,Write a function defined by an expression in different but equivalent forms to reveal and explain different properties of the function.,,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.C.8,Write a function defined by an expression in different but equivalent forms to reveal and explain different properties of the function.,,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.C.8a,"Use the process of factoring and completing the square in a quadratic function to show zeros, extreme values, and symmetry of the graph, and interpret these in terms of a context.",,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.C.8a,"Use the process of factoring and completing the square in a quadratic function to show zeros, extreme values, and symmetry of the graph, and interpret these in terms of a context.",,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.C.8a,"Use the process of factoring and completing the square in a quadratic function to show zeros, extreme values, and symmetry of the graph, and interpret these in terms of a context.",,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.C.8a,"Use the process of factoring and completing the square in a quadratic function to show zeros, extreme values, and symmetry of the graph, and interpret these in terms of a context.",,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.C.8b,Use the properties of exponents to interpret expressions for exponential functions.,,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.C.8b,Use the properties of exponents to interpret expressions for exponential functions.,,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.C.8b,Use the properties of exponents to interpret expressions for exponential functions.,,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.C.8b,Use the properties of exponents to interpret expressions for exponential functions.,,,,
Iowa Core Standards: Math,Math,9,Interpreting Functions,HSF.IF.C.9,"Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions).",,,,
Iowa Core Standards: Math,Math,10,Interpreting Functions,HSF.IF.C.9,"Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions).",,,,
Iowa Core Standards: Math,Math,11,Interpreting Functions,HSF.IF.C.9,"Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions).",,,,
Iowa Core Standards: Math,Math,12,Interpreting Functions,HSF.IF.C.9,"Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions).",,,,
Iowa Core Standards: Math,Math,9,Building Functions,HSF.BF.A,Build a function that models a relationship between two quantities,,,,
Iowa Core Standards: Math,Math,10,Building Functions,HSF.BF.A,Build a function that models a relationship between two quantities,,,,
Iowa Core Standards: Math,Math,11,Building Functions,HSF.BF.A,Build a function that models a relationship between two quantities,,,,
Iowa Core Standards: Math,Math,12,Building Functions,HSF.BF.A,Build a function that models a relationship between two quantities,,,,
Iowa Core Standards: Math,Math,9,Building Functions,HSF.BF.A.1,Write a function that describes a relationship between two quantities,,,,
Iowa Core Standards: Math,Math,10,Building Functions,HSF.BF.A.1,Write a function that describes a relationship between two quantities,,,,
Iowa Core Standards: Math,Math,11,Building Functions,HSF.BF.A.1,Write a function that describes a relationship between two quantities,,,,
Iowa Core Standards: Math,Math,12,Building Functions,HSF.BF.A.1,Write a function that describes a relationship between two quantities,,,,
Iowa Core Standards: Math,Math,9,Building Functions,HSF.BF.A.1a,"Determine an explicit expression, a recursive process, or steps for calculation from a context.",,,,
Iowa Core Standards: Math,Math,10,Building Functions,HSF.BF.A.1a,"Determine an explicit expression, a recursive process, or steps for calculation from a context.",,,,
Iowa Core Standards: Math,Math,11,Building Functions,HSF.BF.A.1a,"Determine an explicit expression, a recursive process, or steps for calculation from a context.",,,,
Iowa Core Standards: Math,Math,12,Building Functions,HSF.BF.A.1a,"Determine an explicit expression, a recursive process, or steps for calculation from a context.",,,,
Iowa Core Standards: Math,Math,9,Building Functions,HSF.BF.A.1b,Combine standard function types using arithmetic operations.,,,,
Iowa Core Standards: Math,Math,10,Building Functions,HSF.BF.A.1b,Combine standard function types using arithmetic operations.,,,,
Iowa Core Standards: Math,Math,11,Building Functions,HSF.BF.A.1b,Combine standard function types using arithmetic operations.,,,,
Iowa Core Standards: Math,Math,12,Building Functions,HSF.BF.A.1b,Combine standard function types using arithmetic operations.,,,,
Iowa Core Standards: Math,Math,9,Building Functions,HSF.BF.A.1c,(+) Compose functions.,,,,
Iowa Core Standards: Math,Math,10,Building Functions,HSF.BF.A.1c,(+) Compose functions.,,,,
Iowa Core Standards: Math,Math,11,Building Functions,HSF.BF.A.1c,(+) Compose functions.,,,,
Iowa Core Standards: Math,Math,12,Building Functions,HSF.BF.A.1c,(+) Compose functions.,,,,
Iowa Core Standards: Math,Math,9,Building Functions,HSF.BF.A.2,"Write arithmetic and geometric sequences both recursively and with an explicit formula, use them to model situations, and translate between the two forms.",,,,
Iowa Core Standards: Math,Math,10,Building Functions,HSF.BF.A.2,"Write arithmetic and geometric sequences both recursively and with an explicit formula, use them to model situations, and translate between the two forms.",,,,
Iowa Core Standards: Math,Math,11,Building Functions,HSF.BF.A.2,"Write arithmetic and geometric sequences both recursively and with an explicit formula, use them to model situations, and translate between the two forms.",,,,
Iowa Core Standards: Math,Math,12,Building Functions,HSF.BF.A.2,"Write arithmetic and geometric sequences both recursively and with an explicit formula, use them to model situations, and translate between the two forms.",,,,
Iowa Core Standards: Math,Math,9,Building Functions,HSF.BF.B,Build new functions from existing functions,,,,
Iowa Core Standards: Math,Math,10,Building Functions,HSF.BF.B,Build new functions from existing functions,,,,
Iowa Core Standards: Math,Math,11,Building Functions,HSF.BF.B,Build new functions from existing functions,,,,
Iowa Core Standards: Math,Math,12,Building Functions,HSF.BF.B,Build new functions from existing functions,,,,
Iowa Core Standards: Math,Math,9,Building Functions,HSF.BF.B.3,"Identify the effect on the graph of replacing f(x) by f(x) + k, k f(x), f(kx), and f(x + k) for specific values of k (both positive and negative); find the value of k given the graphs. Experiment with cases and illustrate an explanation of the effects on the graph using technology. Include recognizing even and odd functions from their graphs and algebraic expressions for them.",,,,
Iowa Core Standards: Math,Math,10,Building Functions,HSF.BF.B.3,"Identify the effect on the graph of replacing f(x) by f(x) + k, k f(x), f(kx), and f(x + k) for specific values of k (both positive and negative); find the value of k given the graphs. Experiment with cases and illustrate an explanation of the effects on the graph using technology. Include recognizing even and odd functions from their graphs and algebraic expressions for them.",,,,
Iowa Core Standards: Math,Math,11,Building Functions,HSF.BF.B.3,"Identify the effect on the graph of replacing f(x) by f(x) + k, k f(x), f(kx), and f(x + k) for specific values of k (both positive and negative); find the value of k given the graphs. Experiment with cases and illustrate an explanation of the effects on the graph using technology. Include recognizing even and odd functions from their graphs and algebraic expressions for them.",,,,
Iowa Core Standards: Math,Math,12,Building Functions,HSF.BF.B.3,"Identify the effect on the graph of replacing f(x) by f(x) + k, k f(x), f(kx), and f(x + k) for specific values of k (both positive and negative); find the value of k given the graphs. Experiment with cases and illustrate an explanation of the effects on the graph using technology. Include recognizing even and odd functions from their graphs and algebraic expressions for them.",,,,
Iowa Core Standards: Math,Math,9,Building Functions,HSF.BF.B.4,Find inverse functions.,,,,
Iowa Core Standards: Math,Math,10,Building Functions,HSF.BF.B.4,Find inverse functions.,,,,
Iowa Core Standards: Math,Math,11,Building Functions,HSF.BF.B.4,Find inverse functions.,,,,
Iowa Core Standards: Math,Math,12,Building Functions,HSF.BF.B.4,Find inverse functions.,,,,
Iowa Core Standards: Math,Math,9,Building Functions,HSF.BF.B.4a,Solve an equation of the form f(x) = c for a simple function f that has an inverse and write an expression for the inverse.,,,,
Iowa Core Standards: Math,Math,10,Building Functions,HSF.BF.B.4a,Solve an equation of the form f(x) = c for a simple function f that has an inverse and write an expression for the inverse.,,,,
Iowa Core Standards: Math,Math,11,Building Functions,HSF.BF.B.4a,Solve an equation of the form f(x) = c for a simple function f that has an inverse and write an expression for the inverse.,,,,
Iowa Core Standards: Math,Math,12,Building Functions,HSF.BF.B.4a,Solve an equation of the form f(x) = c for a simple function f that has an inverse and write an expression for the inverse.,,,,
Iowa Core Standards: Math,Math,9,Building Functions,HSF.BF.B.4b,(+) Verify by composition that one function is the inverse of another.,,,,
Iowa Core Standards: Math,Math,10,Building Functions,HSF.BF.B.4b,(+) Verify by composition that one function is the inverse of another.,,,,
Iowa Core Standards: Math,Math,11,Building Functions,HSF.BF.B.4b,(+) Verify by composition that one function is the inverse of another.,,,,
Iowa Core Standards: Math,Math,12,Building Functions,HSF.BF.B.4b,(+) Verify by composition that one function is the inverse of another.,,,,
Iowa Core Standards: Math,Math,9,Building Functions,HSF.BF.B.4c,"(+) Read values of an inverse function from a graph or a table, given that the function has an inverse.",,,,
Iowa Core Standards: Math,Math,10,Building Functions,HSF.BF.B.4c,"(+) Read values of an inverse function from a graph or a table, given that the function has an inverse.",,,,
Iowa Core Standards: Math,Math,11,Building Functions,HSF.BF.B.4c,"(+) Read values of an inverse function from a graph or a table, given that the function has an inverse.",,,,
Iowa Core Standards: Math,Math,12,Building Functions,HSF.BF.B.4c,"(+) Read values of an inverse function from a graph or a table, given that the function has an inverse.",,,,
Iowa Core Standards: Math,Math,9,Building Functions,HSF.BF.B.4d,(+) Produce an invertible function from a non-invertible function by restricting the domain.,,,,
Iowa Core Standards: Math,Math,10,Building Functions,HSF.BF.B.4d,(+) Produce an invertible function from a non-invertible function by restricting the domain.,,,,
Iowa Core Standards: Math,Math,11,Building Functions,HSF.BF.B.4d,(+) Produce an invertible function from a non-invertible function by restricting the domain.,,,,
Iowa Core Standards: Math,Math,12,Building Functions,HSF.BF.B.4d,(+) Produce an invertible function from a non-invertible function by restricting the domain.,,,,
Iowa Core Standards: Math,Math,9,Building Functions,HSF.BF.B.5,(+) Understand the inverse relationship between exponents and logarithms and use this relationship to solve problems involving logarithms and exponents.,,,,
Iowa Core Standards: Math,Math,10,Building Functions,HSF.BF.B.5,(+) Understand the inverse relationship between exponents and logarithms and use this relationship to solve problems involving logarithms and exponents.,,,,
Iowa Core Standards: Math,Math,11,Building Functions,HSF.BF.B.5,(+) Understand the inverse relationship between exponents and logarithms and use this relationship to solve problems involving logarithms and exponents.,,,,
Iowa Core Standards: Math,Math,12,Building Functions,HSF.BF.B.5,(+) Understand the inverse relationship between exponents and logarithms and use this relationship to solve problems involving logarithms and exponents.,,,,
Iowa Core Standards: Math,Math,9,"Linear, Quadratic & Exponential Models",HSF.LE.A,"Construct and compare linear, quadratic, and exponential models and solve problems",,,,
Iowa Core Standards: Math,Math,10,"Linear, Quadratic & Exponential Models",HSF.LE.A,"Construct and compare linear, quadratic, and exponential models and solve problems",,,,
Iowa Core Standards: Math,Math,11,"Linear, Quadratic & Exponential Models",HSF.LE.A,"Construct and compare linear, quadratic, and exponential models and solve problems",,,,
Iowa Core Standards: Math,Math,12,"Linear, Quadratic & Exponential Models",HSF.LE.A,"Construct and compare linear, quadratic, and exponential models and solve problems",,,,
Iowa Core Standards: Math,Math,9,"Linear, Quadratic & Exponential Models",HSF.LE.A.1,Distinguish between situations that can be modeled with linear functions and with exponential functions.,,,,
Iowa Core Standards: Math,Math,10,"Linear, Quadratic & Exponential Models",HSF.LE.A.1,Distinguish between situations that can be modeled with linear functions and with exponential functions.,,,,
Iowa Core Standards: Math,Math,11,"Linear, Quadratic & Exponential Models",HSF.LE.A.1,Distinguish between situations that can be modeled with linear functions and with exponential functions.,,,,
Iowa Core Standards: Math,Math,12,"Linear, Quadratic & Exponential Models",HSF.LE.A.1,Distinguish between situations that can be modeled with linear functions and with exponential functions.,,,,
Iowa Core Standards: Math,Math,9,"Linear, Quadratic & Exponential Models",HSF.LE.A.1a,"Prove that linear functions grow by equal differences over equal intervals, and that exponential functions grow by equal factors over equal intervals.",,,,
Iowa Core Standards: Math,Math,10,"Linear, Quadratic & Exponential Models",HSF.LE.A.1a,"Prove that linear functions grow by equal differences over equal intervals, and that exponential functions grow by equal factors over equal intervals.",,,,
Iowa Core Standards: Math,Math,11,"Linear, Quadratic & Exponential Models",HSF.LE.A.1a,"Prove that linear functions grow by equal differences over equal intervals, and that exponential functions grow by equal factors over equal intervals.",,,,
Iowa Core Standards: Math,Math,12,"Linear, Quadratic & Exponential Models",HSF.LE.A.1a,"Prove that linear functions grow by equal differences over equal intervals, and that exponential functions grow by equal factors over equal intervals.",,,,
Iowa Core Standards: Math,Math,9,"Linear, Quadratic & Exponential Models",HSF.LE.A.1b,Recognize situations in which one quantity changes at a constant rate per unit interval relative to another.,,,,
Iowa Core Standards: Math,Math,10,"Linear, Quadratic & Exponential Models",HSF.LE.A.1b,Recognize situations in which one quantity changes at a constant rate per unit interval relative to another.,,,,
Iowa Core Standards: Math,Math,11,"Linear, Quadratic & Exponential Models",HSF.LE.A.1b,Recognize situations in which one quantity changes at a constant rate per unit interval relative to another.,,,,
Iowa Core Standards: Math,Math,12,"Linear, Quadratic & Exponential Models",HSF.LE.A.1b,Recognize situations in which one quantity changes at a constant rate per unit interval relative to another.,,,,
Iowa Core Standards: Math,Math,9,"Linear, Quadratic & Exponential Models",HSF.LE.A.1c,Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.,,,,
Iowa Core Standards: Math,Math,10,"Linear, Quadratic & Exponential Models",HSF.LE.A.1c,Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.,,,,
Iowa Core Standards: Math,Math,11,"Linear, Quadratic & Exponential Models",HSF.LE.A.1c,Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.,,,,
Iowa Core Standards: Math,Math,12,"Linear, Quadratic & Exponential Models",HSF.LE.A.1c,Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.,,,,
Iowa Core Standards: Math,Math,9,"Linear, Quadratic & Exponential Models",HSF.LE.A.2,"Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (include reading these from a table).",,,,
Iowa Core Standards: Math,Math,10,"Linear, Quadratic & Exponential Models",HSF.LE.A.2,"Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (include reading these from a table).",,,,
Iowa Core Standards: Math,Math,11,"Linear, Quadratic & Exponential Models",HSF.LE.A.2,"Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (include reading these from a table).",,,,
Iowa Core Standards: Math,Math,12,"Linear, Quadratic & Exponential Models",HSF.LE.A.2,"Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (include reading these from a table).",,,,
Iowa Core Standards: Math,Math,9,"Linear, Quadratic & Exponential Models",HSF.LE.A.3,"Observe using graphs and tables that a quantity increasing exponentially eventually exceeds a quantity increasing linearly, quadratically, or (more generally) as a polynomial function.",,,,
Iowa Core Standards: Math,Math,10,"Linear, Quadratic & Exponential Models",HSF.LE.A.3,"Observe using graphs and tables that a quantity increasing exponentially eventually exceeds a quantity increasing linearly, quadratically, or (more generally) as a polynomial function.",,,,
Iowa Core Standards: Math,Math,11,"Linear, Quadratic & Exponential Models",HSF.LE.A.3,"Observe using graphs and tables that a quantity increasing exponentially eventually exceeds a quantity increasing linearly, quadratically, or (more generally) as a polynomial function.",,,,
Iowa Core Standards: Math,Math,12,"Linear, Quadratic & Exponential Models",HSF.LE.A.3,"Observe using graphs and tables that a quantity increasing exponentially eventually exceeds a quantity increasing linearly, quadratically, or (more generally) as a polynomial function.",,,,
Iowa Core Standards: Math,Math,9,"Linear, Quadratic & Exponential Models",HSF.LE.A.4,"For exponential models, express as a logarithm the solution to ab<sup>ct</sup> = d where a, c, and d are numbers and the base b is 2, 10, or e; evaluate the logarithm using technology.",,,,
Iowa Core Standards: Math,Math,10,"Linear, Quadratic & Exponential Models",HSF.LE.A.4,"For exponential models, express as a logarithm the solution to ab<sup>ct</sup> = d where a, c, and d are numbers and the base b is 2, 10, or e; evaluate the logarithm using technology.",,,,
Iowa Core Standards: Math,Math,11,"Linear, Quadratic & Exponential Models",HSF.LE.A.4,"For exponential models, express as a logarithm the solution to ab<sup>ct</sup> = d where a, c, and d are numbers and the base b is 2, 10, or e; evaluate the logarithm using technology.",,,,
Iowa Core Standards: Math,Math,12,"Linear, Quadratic & Exponential Models",HSF.LE.A.4,"For exponential models, express as a logarithm the solution to ab<sup>ct</sup> = d where a, c, and d are numbers and the base b is 2, 10, or e; evaluate the logarithm using technology.",,,,
Iowa Core Standards: Math,Math,9,"Linear, Quadratic & Exponential Models",HSF.LE.B,Interpret expressions for functions in terms of the situation they model,,,,
Iowa Core Standards: Math,Math,10,"Linear, Quadratic & Exponential Models",HSF.LE.B,Interpret expressions for functions in terms of the situation they model,,,,
Iowa Core Standards: Math,Math,11,"Linear, Quadratic & Exponential Models",HSF.LE.B,Interpret expressions for functions in terms of the situation they model,,,,
Iowa Core Standards: Math,Math,12,"Linear, Quadratic & Exponential Models",HSF.LE.B,Interpret expressions for functions in terms of the situation they model,,,,
Iowa Core Standards: Math,Math,9,"Linear, Quadratic & Exponential Models",HSF.LE.B.5,Interpret the parameters in a linear or exponential function in terms of a context.,,,,
Iowa Core Standards: Math,Math,10,"Linear, Quadratic & Exponential Models",HSF.LE.B.5,Interpret the parameters in a linear or exponential function in terms of a context.,,,,
Iowa Core Standards: Math,Math,11,"Linear, Quadratic & Exponential Models",HSF.LE.B.5,Interpret the parameters in a linear or exponential function in terms of a context.,,,,
Iowa Core Standards: Math,Math,12,"Linear, Quadratic & Exponential Models",HSF.LE.B.5,Interpret the parameters in a linear or exponential function in terms of a context.,,,,
Iowa Core Standards: Math,Math,9,Trigonometric Functions,HSF.TF.A,Extend the domain of trigonometric functions using the unit circle,,,,
Iowa Core Standards: Math,Math,10,Trigonometric Functions,HSF.TF.A,Extend the domain of trigonometric functions using the unit circle,,,,
Iowa Core Standards: Math,Math,11,Trigonometric Functions,HSF.TF.A,Extend the domain of trigonometric functions using the unit circle,,,,
Iowa Core Standards: Math,Math,12,Trigonometric Functions,HSF.TF.A,Extend the domain of trigonometric functions using the unit circle,,,,
Iowa Core Standards: Math,Math,9,Trigonometric Functions,HSF.TF.A.1,Understand radian measure of an angle as the length of the arc on the unit circle subtended by the angle.,,,,
Iowa Core Standards: Math,Math,10,Trigonometric Functions,HSF.TF.A.1,Understand radian measure of an angle as the length of the arc on the unit circle subtended by the angle.,,,,
Iowa Core Standards: Math,Math,11,Trigonometric Functions,HSF.TF.A.1,Understand radian measure of an angle as the length of the arc on the unit circle subtended by the angle.,,,,
Iowa Core Standards: Math,Math,12,Trigonometric Functions,HSF.TF.A.1,Understand radian measure of an angle as the length of the arc on the unit circle subtended by the angle.,,,,
