Standard,Subject,Grade,Strand,Standard Number,Description,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Creating Equations,A.CED.1,"Create equations and inequalities in one variable and use them to solve problems. Include equations and inequalities arising from linear, quadratic, simple rational, and exponential functions.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Creating Equations,A.CED.1,"Create equations and inequalities in one variable and use them to solve problems. Include equations and inequalities arising from linear, quadratic, simple rational, and exponential functions.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Creating Equations,A.CED.1.a,Focus on applying linear and simple exponential expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Creating Equations,A.CED.1.a,Focus on applying linear and simple exponential expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Creating Equations,A.CED.1.a,Focus on applying linear and simple exponential expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Creating Equations,A.CED.1.a,Focus on applying linear and simple exponential expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Creating Equations,A.CED.1.b,Focus on applying simple quadratic expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Creating Equations,A.CED.1.b,Focus on applying simple quadratic expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Creating Equations,A.CED.1.b,Focus on applying simple quadratic expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Creating Equations,A.CED.1.b,Focus on applying simple quadratic expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Creating Equations,A.CED.1.c,Extend to include more complicated function situations with the option to solve with technology.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Creating Equations,A.CED.1.c,Extend to include more complicated function situations with the option to solve with technology.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Creating Equations,A.CED.1.c,Extend to include more complicated function situations with the option to solve with technology.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Creating Equations,A.CED.1.c,Extend to include more complicated function situations with the option to solve with technology.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Creating Equations,A.CED.2,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Creating Equations,A.CED.2,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Creating Equations,A.CED.2,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Creating Equations,A.CED.2,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Creating Equations,A.CED.2.a,Focus on applying linear and simple exponential expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Creating Equations,A.CED.2.a,Focus on applying linear and simple exponential expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Creating Equations,A.CED.2.a,Focus on applying linear and simple exponential expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Creating Equations,A.CED.2.a,Focus on applying linear and simple exponential expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Creating Equations,A.CED.2.b,Focus on applying simple quadratic expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Creating Equations,A.CED.2.b,Focus on applying simple quadratic expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Creating Equations,A.CED.2.b,Focus on applying simple quadratic expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Creating Equations,A.CED.2.b,Focus on applying simple quadratic expressions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Creating Equations,A.CED.2.c,Extend to include more complicated function situations with the option to graph with technology.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Creating Equations,A.CED.2.c,Extend to include more complicated function situations with the option to graph with technology.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Creating Equations,A.CED.2.c,Extend to include more complicated function situations with the option to graph with technology.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Creating Equations,A.CED.2.c,Extend to include more complicated function situations with the option to graph with technology.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Creating Equations,A.CED.3,"Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or non-viable options in a modeling context. For example, represent inequalities describing nutritional and cost constraints on combinations of different foods.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Creating Equations,A.CED.3,"Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or non-viable options in a modeling context. For example, represent inequalities describing nutritional and cost constraints on combinations of different foods.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Creating Equations,A.CED.3,"Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or non-viable options in a modeling context. For example, represent inequalities describing nutritional and cost constraints on combinations of different foods.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Creating Equations,A.CED.3,"Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or non-viable options in a modeling context. For example, represent inequalities describing nutritional and cost constraints on combinations of different foods.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Creating Equations,A.CED.3.a,"While functions will often be linear, exponential, or quadratic, the types of problems should draw from more complicated situations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Creating Equations,A.CED.3.a,"While functions will often be linear, exponential, or quadratic, the types of problems should draw from more complicated situations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Creating Equations,A.CED.3.a,"While functions will often be linear, exponential, or quadratic, the types of problems should draw from more complicated situations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Creating Equations,A.CED.3.a,"While functions will often be linear, exponential, or quadratic, the types of problems should draw from more complicated situations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Creating Equations,A.CED.4,"Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Creating Equations,A.CED.4,"Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Creating Equations,A.CED.4,"Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Creating Equations,A.CED.4,"Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Creating Equations,A.CED.4.a,Focus on formulas in which the variable of interest is linear or square.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Creating Equations,A.CED.4.a,Focus on formulas in which the variable of interest is linear or square.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Creating Equations,A.CED.4.a,Focus on formulas in which the variable of interest is linear or square.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Creating Equations,A.CED.4.a,Focus on formulas in which the variable of interest is linear or square.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Creating Equations,A.CED.4.b,Focus on formulas in which the variable of interest is linear.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Creating Equations,A.CED.4.b,Focus on formulas in which the variable of interest is linear.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Creating Equations,A.CED.4.b,Focus on formulas in which the variable of interest is linear.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Creating Equations,A.CED.4.b,Focus on formulas in which the variable of interest is linear.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Creating Equations,A.CED.4.c,Focus on formulas in which the variable of interest is linear or square.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Creating Equations,A.CED.4.c,Focus on formulas in which the variable of interest is linear or square.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Creating Equations,A.CED.4.c,Focus on formulas in which the variable of interest is linear or square.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Creating Equations,A.CED.4.c,Focus on formulas in which the variable of interest is linear or square.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Creating Equations,A.CED.4.d,"While functions will often be linear, exponential, or quadratic, the types of problems should draw from more complicated situations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Creating Equations,A.CED.4.d,"While functions will often be linear, exponential, or quadratic, the types of problems should draw from more complicated situations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Creating Equations,A.CED.4.d,"While functions will often be linear, exponential, or quadratic, the types of problems should draw from more complicated situations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Creating Equations,A.CED.4.d,"While functions will often be linear, exponential, or quadratic, the types of problems should draw from more complicated situations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,A.REI.1,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,A.REI.1,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,A.REI.1,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,A.REI.1,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,A.REI.2,"Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,A.REI.2,"Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,A.REI.2,"Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,A.REI.2,"Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,A.REI.3,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,A.REI.3,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,A.REI.3,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,A.REI.3,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,A.REI.4,Solve quadratic equations in one variable.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,A.REI.4,Solve quadratic equations in one variable.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,A.REI.4,Solve quadratic equations in one variable.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,A.REI.4,Solve quadratic equations in one variable.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,A.REI.4.a,Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x − p)² = q that has the same solutions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,A.REI.4.a,Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x − p)² = q that has the same solutions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,A.REI.4.a,Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x − p)² = q that has the same solutions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,A.REI.4.a,Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x − p)² = q that has the same solutions.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,A.REI.4.b,"Solve quadratic equations as appropriate to the initial form of the equation by inspection, e.g., for x² = 49; taking square roots; completing the square; applying the quadratic formula; or utilizing the Zero-Product Property after factoring.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,A.REI.4.b,"Solve quadratic equations as appropriate to the initial form of the equation by inspection, e.g., for x² = 49; taking square roots; completing the square; applying the quadratic formula; or utilizing the Zero-Product Property after factoring.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,A.REI.4.b,"Solve quadratic equations as appropriate to the initial form of the equation by inspection, e.g., for x² = 49; taking square roots; completing the square; applying the quadratic formula; or utilizing the Zero-Product Property after factoring.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,A.REI.4.b,"Solve quadratic equations as appropriate to the initial form of the equation by inspection, e.g., for x² = 49; taking square roots; completing the square; applying the quadratic formula; or utilizing the Zero-Product Property after factoring.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,(+)A.REI.4.c,Derive the quadratic formula using the method of completing the square.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,(+)A.REI.4.c,Derive the quadratic formula using the method of completing the square.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,(+)A.REI.4.c,Derive the quadratic formula using the method of completing the square.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,(+)A.REI.4.c,Derive the quadratic formula using the method of completing the square.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,A.REI.5,"Verify that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,A.REI.5,"Verify that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,A.REI.5,"Verify that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,A.REI.5,"Verify that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,A.REI.6,Solve systems of linear equations algebraically and graphically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,A.REI.6,Solve systems of linear equations algebraically and graphically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,A.REI.6,Solve systems of linear equations algebraically and graphically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,A.REI.6,Solve systems of linear equations algebraically and graphically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,A.REI.6.a,Limit to pairs of linear equations in two variables.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,A.REI.6.a,Limit to pairs of linear equations in two variables.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,A.REI.6.a,Limit to pairs of linear equations in two variables.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,A.REI.6.a,Limit to pairs of linear equations in two variables.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,A.REI.6.b,"Extend to include solving systems of linear equations in three variables, but only algebraically.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,A.REI.6.b,"Extend to include solving systems of linear equations in three variables, but only algebraically.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,A.REI.6.b,"Extend to include solving systems of linear equations in three variables, but only algebraically.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,A.REI.6.b,"Extend to include solving systems of linear equations in three variables, but only algebraically.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,A.REI.7,Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,A.REI.7,Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,A.REI.7,Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,A.REI.7,Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,(+)A.REI.8,Represent a system of linear equations as a single matrix equation in a vector variable.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,(+)A.REI.8,Represent a system of linear equations as a single matrix equation in a vector variable.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,(+)A.REI.8,Represent a system of linear equations as a single matrix equation in a vector variable.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,(+)A.REI.8,Represent a system of linear equations as a single matrix equation in a vector variable.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,None,(+)A.REI.9,Find the inverse of a matrix if it exists and use it to solve systems of linear equations (using technology for matrices of dimension 3 × 3 or greater).,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,(+)A.REI.9,Find the inverse of a matrix if it exists and use it to solve systems of linear equations (using technology for matrices of dimension 3 × 3 or greater).,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,(+)A.REI.9,Find the inverse of a matrix if it exists and use it to solve systems of linear equations (using technology for matrices of dimension 3 × 3 or greater).,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,(+)A.REI.9,Find the inverse of a matrix if it exists and use it to solve systems of linear equations (using technology for matrices of dimension 3 × 3 or greater).,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,A.REI.10,"Understand that the graph of an equation in two variables is the set of all its solutions plotted in the coordinate plane, often forming a curve (which could be a line).",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,None,A.REI.10,"Understand that the graph of an equation in two variables is the set of all its solutions plotted in the coordinate plane, often forming a curve (which could be a line).",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,A.REI.10,"Understand that the graph of an equation in two variables is the set of all its solutions plotted in the coordinate plane, often forming a curve (which could be a line).",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,A.REI.10,"Understand that the graph of an equation in two variables is the set of all its solutions plotted in the coordinate plane, often forming a curve (which could be a line).",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,A.REI.11,"Explain why the x-coordinates of the points where the graphs of the equation y = f(x) and y = g(x) intersect are the solutions of the equation f(x) = g(x); find the solutions approximately, e.g., using technology to graph the functions, making tables of values, or finding successive approximations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,A.REI.11,"Explain why the x-coordinates of the points where the graphs of the equation y = f(x) and y = g(x) intersect are the solutions of the equation f(x) = g(x); find the solutions approximately, e.g., using technology to graph the functions, making tables of values, or finding successive approximations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,None,A.REI.11,"Explain why the x-coordinates of the points where the graphs of the equation y = f(x) and y = g(x) intersect are the solutions of the equation f(x) = g(x); find the solutions approximately, e.g., using technology to graph the functions, making tables of values, or finding successive approximations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Reasoning with Equations & Inequalities,A.REI.11,"Explain why the x-coordinates of the points where the graphs of the equation y = f(x) and y = g(x) intersect are the solutions of the equation f(x) = g(x); find the solutions approximately, e.g., using technology to graph the functions, making tables of values, or finding successive approximations.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Reasoning with Equations & Inequalities,A.REI.12,"Graph the solutions to a linear inequality in two variables as a half-plane (excluding the boundary in the case of a strict inequality), and graph the solution set to a system of linear inequalities in two variables as the intersection of the corresponding half-planes.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Reasoning with Equations & Inequalities,A.REI.12,"Graph the solutions to a linear inequality in two variables as a half-plane (excluding the boundary in the case of a strict inequality), and graph the solution set to a system of linear inequalities in two variables as the intersection of the corresponding half-planes.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Reasoning with Equations & Inequalities,A.REI.12,"Graph the solutions to a linear inequality in two variables as a half-plane (excluding the boundary in the case of a strict inequality), and graph the solution set to a system of linear inequalities in two variables as the intersection of the corresponding half-planes.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,None,A.REI.12,"Graph the solutions to a linear inequality in two variables as a half-plane (excluding the boundary in the case of a strict inequality), and graph the solution set to a system of linear inequalities in two variables as the intersection of the corresponding half-planes.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Interpreting Functions,F.IF.1,"Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output of f corresponding to the input x. The graph of f is the graph of the equation y = f(x).",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Interpreting Functions,F.IF.1,"Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output of f corresponding to the input x. The graph of f is the graph of the equation y = f(x).",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Interpreting Functions,F.IF.1,"Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output of f corresponding to the input x. The graph of f is the graph of the equation y = f(x).",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Interpreting Functions,F.IF.1,"Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output of f corresponding to the input x. The graph of f is the graph of the equation y = f(x).",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Interpreting Functions,F.IF.2,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Interpreting Functions,F.IF.2,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Interpreting Functions,F.IF.2,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Interpreting Functions,F.IF.2,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Interpreting Functions,F.IF.3,"Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Interpreting Functions,F.IF.3,"Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Interpreting Functions,F.IF.3,"Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Interpreting Functions,F.IF.3,"Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Interpreting Functions,F.IF.4,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship. Key features include the following: intercepts; intervals where the function is increasing, decreasing, positive, or negative; relative maximums and minimums; symmetries; end behavior; and periodicity.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Interpreting Functions,F.IF.4,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship. Key features include the following: intercepts; intervals where the function is increasing, decreasing, positive, or negative; relative maximums and minimums; symmetries; end behavior; and periodicity.",,,,,,,,,,,,,,,,,,,,,,,,
