Standard,Subject,Grade,Strand,Standard Number,Description,,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.2.d,"Use appropriate and varied transitions and syntax to link the major sections of the text, create cohesion, and clarify the relationships among complex ideas and concepts.",,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.2.e,"Use precise language, domain-specific vocabulary, and techniques such as metaphor, simile, and analogy to manage the complexity of the topic.",,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.2.e,"Use precise language, domain-specific vocabulary, and techniques such as metaphor, simile, and analogy to manage the complexity of the topic.",,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.2.f,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.,,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.2.f,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.,,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.2.g,"Provide a concluding statement or section that follows from and supports the information or explanation presented (e.g., articulating implications or the significance of the topic).",,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.2.g,"Provide a concluding statement or section that follows from and supports the information or explanation presented (e.g., articulating implications or the significance of the topic).",,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.3,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.3,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.3.a,"Engage and orient the reader by setting out a problem, situation, or observation and its significance, establishing one or multiple point(s) of view, and introducing a narrator and/or characters; create a smooth progression of experiences or events.",,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.3.a,"Engage and orient the reader by setting out a problem, situation, or observation and its significance, establishing one or multiple point(s) of view, and introducing a narrator and/or characters; create a smooth progression of experiences or events.",,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.3.b,"Use narrative techniques, such as dialogue, pacing, description, reflection, and multiple plot lines, to develop experiences, events, and/or characters.",,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.3.b,"Use narrative techniques, such as dialogue, pacing, description, reflection, and multiple plot lines, to develop experiences, events, and/or characters.",,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.3.c,"Use a variety of techniques to sequence events so that they build on one another to create a coherent whole and build toward a particular tone and outcome (e.g., a sense of mystery, suspense, growth, or resolution).",,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.3.c,"Use a variety of techniques to sequence events so that they build on one another to create a coherent whole and build toward a particular tone and outcome (e.g., a sense of mystery, suspense, growth, or resolution).",,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.3.d,"Use precise words and phrases, telling details, and sensory language to convey a vivid picture of the experiences, events, setting, and/or characters.",,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.3.d,"Use precise words and phrases, telling details, and sensory language to convey a vivid picture of the experiences, events, setting, and/or characters.",,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.3.e,"Provide a conclusion that follows from and reflects on what is experienced, observed, or resolved over the course of the narrative.",,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.3.e,"Provide a conclusion that follows from and reflects on what is experienced, observed, or resolved over the course of the narrative.",,,,,,
Ohio ELA Standard,English,K,Writing Standards,W.K.4,Begins in grade 3,,,,,,
Ohio ELA Standard,English,K,Writing Standards,W.K.5,"With guidance and support from adults, respond to questions and suggestions from peers and add details to strengthen writing as needed.",,,,,,
Ohio ELA Standard,English,K,Writing Standards,W.K.6,"With guidance and support from adults, explore a variety of digital tools to produce and publish writing, including in collaboration with peers.",,,,,,
Ohio ELA Standard,English,1,Writing Standards,W.1.4,Begins in grade 3,,,,,,
Ohio ELA Standard,English,1,Writing Standards,W.1.5,"With guidance and support from adults, focus on a topic, respond to questions and suggestions from peers, and add details to strengthen writing as needed.",,,,,,
Ohio ELA Standard,English,1,Writing Standards,W.1.6,"With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers.",,,,,,
Ohio ELA Standard,English,2,Writing Standards,W.2.4,Begins in grade 3,,,,,,
Ohio ELA Standard,English,2,Writing Standards,W.2.5,"With guidance and support from adults and peers, focus on a topic and strengthen writing as needed by revising and editing.",,,,,,
Ohio ELA Standard,English,2,Writing Standards,W.2.6,"With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers.",,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.4,"With guidance and support from adults, produce writing in which the development and organization are appropriate to task and purpose.",,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, and editing.",,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.6,"With guidance and support from adults, use technology to produce and publish writing (using keyboarding skills), as well as to interact and collaborate with others.",,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience.",,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, and editing.",,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.6,"With some guidance and support from adults, use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others, while demonstrating sufficient command of keyboarding skills.",,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience.",,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.",,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.6,"With some guidance and support from adults, use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others, while demonstrating sufficient command of keyboarding skills.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.5,"With some guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.6,"Use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others, while demonstrating sufficient command of keyboarding skills.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.5,"With some guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on how well purpose and audience have been addressed.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.6,"Use technology, including the Internet, to produce and publish writing and link to and cite sources, as well as to interact and collaborate with others, including linking to and citing sources.",,,,,,
Ohio ELA Standard,English,8,Writing Standards,W.8.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",,,,,,
Ohio ELA Standard,English,8,Writing Standards,W.8.5,"With some guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on how well purpose and audience have been addressed.",,,,,,
Ohio ELA Standard,English,8,Writing Standards,W.8.6,"Use technology, including the Internet, to produce and publish writing and present the relationships between information and ideas efficiently, as well as to interact and collaborate with others.",,,,,,
Ohio ELA Standard,English,9,Writing Standards,W.9-10.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",,,,,,
Ohio ELA Standard,English,10,Writing Standards,W.9-10.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",,,,,,
Ohio ELA Standard,English,9,Writing Standards,W.9-10.5,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience.",,,,,,
Ohio ELA Standard,English,10,Writing Standards,W.9-10.5,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience.",,,,,,
Ohio ELA Standard,English,9,Writing Standards,W.9-10.6,"Use technology, including the Internet, to produce, publish, and update individual or shared writing products, taking advantage of technology's capacity to link to other information and to display information flexibly and dynamically.",,,,,,
Ohio ELA Standard,English,10,Writing Standards,W.9-10.6,"Use technology, including the Internet, to produce, publish, and update individual or shared writing products, taking advantage of technology's capacity to link to other information and to display information flexibly and dynamically.",,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.5,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience.",,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.5,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience.",,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.6,"Use technology, including the Internet, to produce, publish, and update individual or shared writing products in response to ongoing feedback, including new arguments or information.",,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.6,"Use technology, including the Internet, to produce, publish, and update individual or shared writing products in response to ongoing feedback, including new arguments or information.",,,,,,
Ohio ELA Standard,English,K,Writing Standards,W.K.7,"Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them).",,,,,,
Ohio ELA Standard,English,K,Writing Standards,W.K.8,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question.",,,,,,
Ohio ELA Standard,English,K,Writing Standards,W.K.9,Begins in grade 4,,,,,,
Ohio ELA Standard,English,1,Writing Standards,W.1.7,"Participate in shared research and writing projects (e.g., explore a number of how-to"" books on a given topic and use them to write a sequence of instructions).""",,,,,,
Ohio ELA Standard,English,1,Writing Standards,W.1.8,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question.",,,,,,
Ohio ELA Standard,English,1,Writing Standards,W.1.9,Begins in grade 4,,,,,,
Ohio ELA Standard,English,2,Writing Standards,W.2.7,"Participate in shared research and writing projects (e.g., read a number of books on a single topic to produce a report; record science observations).",,,,,,
Ohio ELA Standard,English,2,Writing Standards,W.2.8,Recall information from experiences or gather information from provided sources to answer a question.,,,,,,
Ohio ELA Standard,English,2,Writing Standards,W.2.9,Begins in grade 4,,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.7,Conduct short research projects that build knowledge about a topic.,,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.8,Recall information from experiences or gather information from print and digital sources; take brief notes on sources and sort evidence into provided categories.,,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.9,Begins in grade 4,,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.7,Conduct short research projects that build knowledge through investigation of different aspects of a topic.,,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.8,Recall relevant information from experiences or gather relevant information from print and digital sources; take notes and categorize information and provide a list of sources.,,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.9.a,"Apply grade 4 Reading standards to literature (e.g., Describe in depth a character",setting,or event in a story or drama,drawing on specific details in the text [e.g.,a character's thoughts,words,"or actions]."")."""
Ohio ELA Standard,English,4,Writing Standards,W.4.9.b,"Apply grade 4 Reading standards to informational texts (e.g., Explain how an author uses reasons and evidence to support particular points in a text"").""",,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.7,Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.,,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.8,Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work and provide a list of sources.,,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.9.a,"Apply grade 5 Reading standards to literature (e.g., Compare and contrast two or more characters",settings,or events in a story or a drama,drawing on specific details in the text [e.g.,"how characters interact]"").""",,
Ohio ELA Standard,English,5,Writing Standards,W.5.9.b,"Apply grade 5 Reading standards to informational texts (e.g., Explain how an author uses reasons and evidence to support particular points in a text","identifying which reasons and evidence support which point[s]"").""",,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.7,"Conduct short research projects to answer a question, drawing on several sources and refocusing the inquiry when appropriate.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.8,"Gather relevant information from multiple print and digital sources; assess the credibility of each source; and quote or paraphrase the data and conclusions of others, while avoiding plagiarism and providing basic bibliographic information for sources.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.9.a,"Apply grade 6 Reading standards to literature (e.g., Compare and contrast texts in different forms or genres [e.g.","stories and poems; historical novels and fantasy stories] in terms of their approaches to similar themes and topics"").""",,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.9.b,"Apply grade 6 Reading standards to literary nonfiction (e.g., Trace and evaluate the argument and specific claims in a text","distinguishing claims that are supported by reasons and evidence from claims that are not"").""",,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.7,"Conduct short research projects to answer a question, drawing on several sources and generating additional related, focused questions for further research and investigation.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.8,"Gather relevant information from multiple print and digital sources, using search terms effectively; assess the credibility and accuracy of each source; and quote or paraphrase the data and conclusions of others while avoiding plagiarism and following a standard format for citation.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.9.a,"Apply grade 7 Reading standards to literature (e.g., Compare and contrast a fictional portrayal of a time",place,"or character and a historical account of the same period as a means of understanding how authors of fiction use or alter history"").""",,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.9.b,Apply grade 7 Reading standards to literary nonfiction (e.g. Trace and evaluate the argument and specific claims in a text,"assessing whether the reasoning is sound and the evidence is relevant and sufficient to support the claims"").""",,,,,
Ohio ELA Standard,English,8,Writing Standards,W.8.7,"Conduct short research projects to answer a question (including a self-generated question), drawing on several sources and generating additional related, focused questions that allow for multiple avenues of exploration.",,,,,,
Ohio ELA Standard,English,8,Writing Standards,W.8.8,"Gather relevant information from multiple print and digital sources, using search terms effectively; assess the credibility and accuracy of each source; and quote or paraphrase the data and conclusions of others, while avoiding plagiarism and following a standard format for citation.",,,,,,
Ohio ELA Standard,English,8,Writing Standards,W.8.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",,,,,,
Ohio ELA Standard,English,8,Writing Standards,W.8.9.a,"Apply grade 8 Reading standards to literature (e.g., Analyze how a modern work of fiction alludes to themes",patterns of events,or character types from myths,traditional stories,and religious literary texts,such as (but not limited to) the Bible and The Epic of Gilgamesh,"including describing how the material is rendered new"")."""
Ohio ELA Standard,English,8,Writing Standards,W.8.9.b,"Apply grade 8 Reading standards to literary nonfiction (e.g., Delineate and evaluate the argument and specific claims in a text","assessing whether the reasoning is sound and the evidence is relevant and sufficient; recognize when irrelevant evidence is introduced"").""",,,,,
Ohio ELA Standard,English,9,Writing Standards,W.9-10.7,"Conduct short as well as more sustained research projects to answer a question (including a self-generated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation.",,,,,,
Ohio ELA Standard,English,10,Writing Standards,W.9-10.7,"Conduct short as well as more sustained research projects to answer a question (including a self-generated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation.",,,,,,
Ohio ELA Standard,English,9,Writing Standards,W.9-10.8,"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the usefulness of each source in answering the research question; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and following a standard format for citation.",,,,,,
Ohio ELA Standard,English,10,Writing Standards,W.9-10.8,"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the usefulness of each source in answering the research question; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and following a standard format for citation.",,,,,,
Ohio ELA Standard,English,9,Writing Standards,W.9-10.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",,,,,,
Ohio ELA Standard,English,10,Writing Standards,W.9-10.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",,,,,,
Ohio ELA Standard,English,9,Writing Standards,W.9-10.9.a,"Apply grades 9–10 Reading standards to literature (e.g., Analyze how an author alludes to and transforms source material in a specific work [e.g.","how Shakespeare treats a theme or topic from Ovid or the Bible or how a later author draws on a play by Shakespeare]"").""",,,,,
Ohio ELA Standard,English,10,Writing Standards,W.9-10.9.a,"Apply grades 9–10 Reading standards to literature (e.g., Analyze how an author alludes to and transforms source material in a specific work [e.g.","how Shakespeare treats a theme or topic from Ovid or the Bible or how a later author draws on a play by Shakespeare]"").""",,,,,
Ohio ELA Standard,English,9,Writing Standards,W.9-10.9.b,"Apply grades 9–10 Reading standards to literary nonfiction (e.g., Delineate and evaluate the argument and specific claims in a text","assessing whether the reasoning is valid and the evidence is relevant and sufficient; identify false statements and fallacious reasoning"").""",,,,,
Ohio ELA Standard,English,10,Writing Standards,W.9-10.9.b,"Apply grades 9–10 Reading standards to literary nonfiction (e.g., Delineate and evaluate the argument and specific claims in a text","assessing whether the reasoning is valid and the evidence is relevant and sufficient; identify false statements and fallacious reasoning"").""",,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.7,"Conduct short as well as more sustained research projects to answer a question (including a self-generated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation.",,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.7,"Conduct short as well as more sustained research projects to answer a question (including a self-generated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation.",,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.8,"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the strengths and limitations of each source in terms of the task, purpose, and audience; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and over-reliance on any one source and following a standard format for citation.",,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.8,"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the strengths and limitations of each source in terms of the task, purpose, and audience; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and over-reliance on any one source and following a standard format for citation.",,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.9.a,"Apply grades 11–12 Reading standards to literature (e.g., Demonstrate knowledge of eighteenth-",nineteenth- and early-twentieth-century foundational works of American literature,"including how two or more diverse texts from the same period treat similar themes and/or topics"").""",,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.9.a,"Apply grades 11–12 Reading standards to literature (e.g., Demonstrate knowledge of eighteenth-",nineteenth- and early-twentieth-century foundational works of American literature,"including how two or more diverse texts from the same period treat similar themes and/or topics"").""",,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.9.b,"Apply grades 11–12 Reading standards to literary nonfiction (e.g., Delineate and evaluate the reasoning in seminal U.S. texts",including the application of constitutional principles and use of legal reasoning [e.g.,in U.S. Supreme Court Case majority opinions and dissents] and the premises,purposes,and arguments in works of public advocacy [e.g.,The Federalist,"presidential addresses]"")."""
Ohio ELA Standard,English,12,Writing Standards,W.11-12.9.b,"Apply grades 11–12 Reading standards to literary nonfiction (e.g., Delineate and evaluate the reasoning in seminal U.S. texts",including the application of constitutional principles and use of legal reasoning [e.g.,in U.S. Supreme Court Case majority opinions and dissents] and the premises,purposes,and arguments in works of public advocacy [e.g.,The Federalist,"presidential addresses]"")."""
Ohio ELA Standard,English,K,Writing Standards,W.K.10,Begins in grade 3,,,,,,
Ohio ELA Standard,English,1,Writing Standards,W.1.10,Begins in grade 3,,,,,,
Ohio ELA Standard,English,2,Writing Standards,W.2.10,Begins in grade 3,,,,,,
Ohio ELA Standard,English,3,Writing Standards,W.3.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",,,,,,
Ohio ELA Standard,English,4,Writing Standards,W.4.10,"Write routinely over extended time frames time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",,,,,,
Ohio ELA Standard,English,5,Writing Standards,W.5.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",,,,,,
Ohio ELA Standard,English,6,Writing Standards,W.6.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",,,,,,
Ohio ELA Standard,English,7,Writing Standards,W.7.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",,,,,,
Ohio ELA Standard,English,8,Writing Standards,W.8.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",,,,,,
Ohio ELA Standard,English,9,Writing Standards,W.9-10.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",,,,,,
Ohio ELA Standard,English,10,Writing Standards,W.9-10.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",,,,,,
Ohio ELA Standard,English,11,Writing Standards,W.11-12.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",,,,,,
Ohio ELA Standard,English,12,Writing Standards,W.11-12.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",,,,,,
Ohio ELA Standard,English,K,Speaking and Listening Standards,SL.K.1,Participate in collaborative conversations about kindergarten topics and texts with diverse partners in small and larger groups.,,,,,,
Ohio ELA Standard,English,K,Speaking and Listening Standards,SL.K.1.a,"Follow agreed-upon rules for discussions(e.g., listening to others and taking turns speaking about the topics and texts under discussion).",,,,,,
Ohio ELA Standard,English,K,Speaking and Listening Standards,SL.K.1.b,Continue a conversation through multiple exchanges.,,,,,,
Ohio ELA Standard,English,K,Speaking and Listening Standards,SL.K.2,"Confirm understanding of a text read aloud or information presented in various media and other formats (e.g., orally) by asking and answering questions about key details and requesting clarification if something is not understood.",,,,,,
Ohio ELA Standard,English,K,Speaking and Listening Standards,SL.K.3,"Ask and answer questions in order to seek help, get information, or clarify something that is not understood.",,,,,,
Ohio ELA Standard,English,1,Speaking and Listening Standards,SL.1.1,Participate in collaborative conversations about grade 1 topics and texts with diverse partners in small and larger groups.,,,,,,
Ohio ELA Standard,English,1,Speaking and Listening Standards,SL.1.1.a,"Follow agreed-upon rules for discussions(e.g., listening to others with care, speaking one at a time about the topics and texts under discussion).",,,,,,
Ohio ELA Standard,English,1,Speaking and Listening Standards,SL.1.1.b,Build on others' talk in conversations by responding to the comments of others through multiple exchanges.,,,,,,
Ohio ELA Standard,English,1,Speaking and Listening Standards,SL.1.1.c,Ask questions to clear up any confusion about the topics and texts under discussion.,,,,,,
Ohio ELA Standard,English,1,Speaking and Listening Standards,SL.1.2,"Ask and answer questions about key details in a text read aloud or information presented in various media and other formats (e.g., orally).",,,,,,
Ohio ELA Standard,English,1,Speaking and Listening Standards,SL.1.3,Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.,,,,,,
Ohio ELA Standard,English,2,Speaking and Listening Standards,SL.2.1,Participate in collaborative conversations about grade 2 topics and texts with diverse partners in small and larger groups.,,,,,,
Ohio ELA Standard,English,2,Speaking and Listening Standards,SL.2.1.a,"Follow agreed-upon rules for discussions(e.g., gaining the floor in respectful ways, listening to others with care, speaking one at a time about the topics and texts under discussion).",,,,,,
Ohio ELA Standard,English,2,Speaking and Listening Standards,SL.2.1.b,Build on others' talk in conversations by linking their comments to the remarks of others.,,,,,,
Ohio ELA Standard,English,2,Speaking and Listening Standards,SL.2.1.c,Ask for clarification and further explanation as needed about the topics and texts under discussion.,,,,,,
Ohio ELA Standard,English,2,Speaking and Listening Standards,SL.2.2,"Retell or describe key ideas or details from a text read aloud or information presented in various media and other formats (e.g., orally).",,,,,,
Ohio ELA Standard,English,2,Speaking and Listening Standards,SL.2.3,"Ask and answer questions about what a speaker says in order to clarify comprehension, gather additional information, or deepen understanding of a topic or issue.",,,,,,
Ohio ELA Standard,English,3,Speaking and Listening Standards,SL.3.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 3 topics and texts, building on others' ideas and expressing their own clearly.",,,,,,
Ohio ELA Standard,English,3,Speaking and Listening Standards,SL.3.1.a,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion.",,,,,,
Ohio ELA Standard,English,3,Speaking and Listening Standards,SL.3.1.b,"Follow agreed-upon rules for discussions (e.g., gaining the floor in respectful ways, listening to others with care, speaking one at a time about the topics and texts under discussion).",,,,,,
Ohio ELA Standard,English,3,Speaking and Listening Standards,SL.3.1.c,"Ask questions to check understanding of information presented, stay on topic, and link their comments to the remarks of others.",,,,,,
Ohio ELA Standard,English,3,Speaking and Listening Standards,SL.3.1.d,Explain their own ideas and understanding in light of the discussion.,,,,,,
Ohio ELA Standard,English,3,Speaking and Listening Standards,SL.3.2,"Determine the main ideas and supporting details of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",,,,,,
Ohio ELA Standard,English,3,Speaking and Listening Standards,SL.3.3,"Ask and answer questions about information from a speaker, offering appropriate elaboration and detail.",,,,,,
Ohio ELA Standard,English,4,Speaking and Listening Standards,SL.4.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 4 topics and texts, building on others' ideas and expressing their own clearly.",,,,,,
Ohio ELA Standard,English,4,Speaking and Listening Standards,SL.4.1.a,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion.",,,,,,
Ohio ELA Standard,English,4,Speaking and Listening Standards,SL.4.1.b,Follow agreed-upon rules for discussions and carry out assigned roles.,,,,,,
Ohio ELA Standard,English,4,Speaking and Listening Standards,SL.4.1.c,"Pose and respond to specific questions to clarify or follow up on information, and make comments that contribute to the discussion and link to the remarks of others.",,,,,,
Ohio ELA Standard,English,4,Speaking and Listening Standards,SL.4.1.d,Review the key ideas expressed and explain their own ideas and understanding in light of the discussion.,,,,,,
Ohio ELA Standard,English,4,Speaking and Listening Standards,SL.4.2,"Paraphrase portions of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",,,,,,
